Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
42,35,Female,Flats,Footwear,92,Florida,XL,Teal,Winter,3.7,No,Free Shipping,No,Yes,22,Credit Card,Monthly
43,35,Female,Pants,Clothing,44,Massachusetts,M,Charcoal,Fall,3.9,Yes,Store Pickup,No,No,28,Venmo,Weekly
44,36,Male,Jewelry,Accessories,51,Missouri,L,Blue,Summer,3.6,No,Standard,No,No,19,Credit Card,Fortnightly
45,25,Male,Jacket,Outerwear,88,Arizona,M,Purple,Spring,4.3,No,Store Pickup,No,Yes,12,Credit Card,Fortnightly
46,41,Male,Jacket,Outerwear,88,Oregon,L,Maroon,Winter,3.9,Yes,Store Pickup,No,Yes,0,Debit Card,Monthly
47,48,Female,Belt,Accessories,43,Maine,L,Blue,Winter,4.6,No,Next Day Air,Yes,Yes,36,Bank Transfer,Bi-Weekly
48,21,Male,Heels,Footwear,58,Massachusetts,M,White,Fall,4.0,Yes,2-Day Shipping,No,No,28,Credit Card,Annually
49,45,Female,Sweater,Clothing,46,Ohio,M,Gold,Winter,2.9,Yes,2-Day Shipping,Yes,Yes,10,Venmo,Quarterly
50,46,Female,Jacket,Outerwear,49,Missouri,L,Lavender,Winter,4.2,No,Store Pickup,Yes,Yes,27,Venmo,Annually
51,32,Male,Coat,Outerwear,29,Maine,M,Violet,Summer,3.6,No,Store Pickup,No,No,17,Debit Card,Annually
52,49,Female,Blouse,Clothing,75,Washington,L,Gold,Winter,2.7,Yes,Store Pickup,No,Yes,48,Cash,Quarterly
53,51,Female,Coat,Outerwear,94,New Hampshire,XL,Black,Fall,3.4,No,Standard,Yes,Yes,10,Credit Card,Quarterly
54,62,Female,Rain Jacket,Outerwear,90,Maine,XL,Black,Summer,3.1,Yes,Next Day Air,Yes,Yes,42,Debit Card,Quarterly
55,44,Male,Heels,Footwear,66,Florida,XL,Lavender,Winter,3.0,Yes,Standard,No,No,7,Venmo,Bi-Weekly
56,56,Male,Boots,Footwear,90,Kentucky,XL,Black,Spring,5.0,Yes,Next Day Air,Yes,Yes,41,Cash,Quarterly
57,63,Female,Rain Jacket,Outerwear,81,Alabama,M,Lavender,Spring,3.5,Yes,Express,No,No,21,Debit Card,Monthly
58,70,Male,Parka,Outerwear,95,Texas,XL,Turquoise,Fall,3.8,No,Standard,No,No,20,Cash,Bi-Weekly
59,33,Female,Flats,Footwear,25,Arkansas,XL,Silver,Fall,5.0,Yes,Next Day Air,Yes,Yes,8,Debit Card,Annually
60,39,Male,Handbag,Accessories,87,New York,S,Turquoise,Fall,4.7,Yes,Express,No,No,21,Debit Card,Bi-Weekly
61,43,Male,Rain Jacket,Outerwear,60,Ohio,XL,Maroon,Winter,3.1,No,Free Shipping,Yes,Yes,27,Venmo,Bi-Weekly
62,63,Male,Sunglasses,Accessories,58,Kentucky,S,Teal,Winter,3.2,No,Next Day Air,Yes,Yes,15,Debit Card,Quarterly
63,54,Male,Sneakers,Footwear,30,Florida,XL,Olive,Fall,4.8,Yes,Free Shipping,No,No,29,Credit Card,Bi-Weekly
64,18,Female,Coat,Outerwear,29,New York,L,Violet,Fall,4.2,No,Standard,Yes,Yes,24,PayPal,Weekly
65,33,Female,Parka,Outerwear,57,Kentucky,XL,Gold,Winter,3.9,Yes,2-Day Shipping,No,No,49,Cash,Annually
66,69,Female,Sneakers,Footwear,99,West Virginia,M,White,Winter,3.3,No,Express,No,Yes,5,Credit Card,Monthly
67,65,Female,Sneakers,Footwear,36,California,L,Red,Summer,4.6,No,Next Day Air,No,No,7,PayPal,Weekly
68,27,Male,Hat,Accessories,66,Massachusetts,XL,Gray,Summer,3.8,No,Standard,No,No,40,Credit Card,Weekly
69,61,Male,Handbag,Accessories,99,California,L,Olive,Winter,4.1,No,Store Pickup,No,No,7,Cash,Weekly
70,20,Female,Handbag,Accessories,32,Louisiana,M,Silver,Fall,3.4,No,2-Day Shipping,Yes,Yes,26,Bank Transfer,Weekly
71,49,Female,Jacket,Outerwear,67,Montana,XL,Lavender,Spring,4.6,Yes,Store Pickup,No,No,3,PayPal,Monthly
72,30,Male,Handbag,Accessories,47,Ohio,S,Maroon,Summer,3.1,Yes,2-Day Shipping,Yes,Yes,4,Debit Card,Fortnightly
73,55,Male,Boots,Footwear,38,Florida,S,Gold,Spring,5.0,No,Free Shipping,Yes,Yes,42,Venmo,Fortnightly
74,18,Female,Heels,Footwear,61,Kentucky,M,Gold,Winter,2.8,No,2-Day Shipping,Yes,Yes,47,Venmo,Quarterly
75,46,Female,Shorts,Clothing,84,Louisiana,S,Red,Summer,3.6,Yes,Express,No,No,27,Bank Transfer,Weekly
76,49,Female,Sweater,Clothing,61,Florida,M,Black,Spring,3.2,No,Next Day Air,No,No,32,Debit Card,Quarterly
77,24,Male,Flats,Footwear,77,Louisiana,XL,Teal,Fall,3.5,Yes,Standard,No,No,42,Credit Card,Monthly
78,27,Female,Sweater,Clothing,30,Massachusetts,XL,White,Summer,4.5,Yes,2-Day Shipping,No,Yes,26,Credit Card,Bi-Weekly
79,66,Female,Dress,Clothing,96,Missouri,L,White,Spring,2.9,No,Free Shipping,Yes,Yes,22,Debit Card,Monthly
80,25,Female,Flats,Footwear,91,Arizona,S,Gold,Winter,3.0,No,Standard,No,Yes,11,Cash,Annually
81,60,Female,Jeans,Clothing,23,Massachusetts,M,Silver,Fall,3.6,Yes,Standard,No,No,49,Debit Card,Annually
82,23,Male,Sneakers,Footwear,99,Maine,S,Gold,Fall,4.2,No,2-Day Shipping,No,No,17,Cash,Annually
83,25,Female,Handbag,Accessories,56,Georgia,XL,Red,Summer,2.6,No,2-Day Shipping,Yes,Yes,0,Cash,Monthly
84,31,Male,Parka,Outerwear,61,Rhode Island,S,Blue,Fall,2.9,No,2-Day Shipping,Yes,Yes,32,Debit Card,Bi-Weekly
85,69,Female,Skirt,Clothing,25,New Hampshire,S,Lavender,Winter,4.7,No,2-Day Shipping,No,No,18,Venmo,Quarterly
86,19,Female,Heels,Footwear,78,Colorado,L,Black,Fall,4.6,Yes,Next Day Air,No,Yes,25,Credit Card,Bi-Weekly
87,39,Male,Coat,Outerwear,29,Mississippi,S,Red,Spring,4.8,No,Standard,Yes,Yes,15,Venmo,Fortnightly
88,34,Male,Heels,Footwear,39,Arizona,S,Pink,Fall,3.7,No,Store Pickup,No,No,9,PayPal,Weekly
89,48,Female,Parka,Outerwear,95,Maine,L,Red,Winter,3.3,No,Express,Yes,Yes,23,Credit Card,Weekly
90,59,Male,Scarf,Accessories,94,California,S,Lavender,Spring,3.3,No,2-Day Shipping,Yes,Yes,3,PayPal,Weekly
91,69,Female,Pants,Clothing,42,Maine,M,Lavender,Fall,3.8,Yes,Standard,No,No,24,PayPal,Monthly
92,61,Male,Jacket,Outerwear,62,Rhode Island,XL,Violet,Summer,4.3,Yes,Standard,Yes,Yes,37,Bank Transfer,Fortnightly
93,40,Female,Sunglasses,Accessories,96,Colorado,S,Violet,Fall,4.1,No,Free Shipping,Yes,Yes,41,Bank Transfer,Quarterly
94,50,Female,Coat,Clothing,59,Wyoming,M,Teal,Fall,3.0,Yes,Free Shipping,Yes,Yes,18,Venmo,Annually
95,67,Male,Coat,Outerwear,96,Delaware,M,Pink,Spring,4.6,Yes,Store Pickup,No,Yes,26,Credit Card,Bi-Weekly
96,64,Male,Hat,Accessories,56,Arizona,XL,Olive,Spring,3.3,No,Free Shipping,No,No,29,Credit Card,Quarterly
97,50,Female,Sneakers,Footwear,97,Oregon,L,Maroon,Fall,4.7,Yes,Store Pickup,Yes,Yes,18,Venmo,Fortnightly
98,35,Female,Flats,Footwear,31,Louisiana,XL,Green,Winter,3.5,No,2-Day Shipping,No,Yes,24,Venmo,Monthly
99,32,Male,Jacket,Outerwear,62,Oregon,M,Maroon,Summer,4.8,No,Store Pickup,Yes,Yes,48,Bank Transfer,Quarterly
100,46,Male,Blouse,Clothing,52,Montana,M,Red,Fall,2.8,No,Free Shipping,No,Yes,3,Cash,Quarterly
101,58,Female,Sweater,Clothing,83,Florida,S,Red,Spring,4.3,No,Next Day Air,Yes,Yes,39,Credit Card,Fortnightly
102,54,Female,Sandals,Footwear,87,Hawaii,S,Red,Winter,3.5,No,Express,No,No,16,Bank Transfer,Weekly
103,40,Male,Coat,Outerwear,100,Rhode Island,L,Turquoise,Winter,3.4,No,Store Pickup,Yes,Yes,49,Bank Transfer,Quarterly
104,62,Female,Sneakers,Footwear,28,Colorado,XL,Maroon,Summer,3.0,Yes,Express,No,No,32,PayPal,Annually
105,48,Female,Shirt,Clothing,56,Hawaii,S,Teal,Summer,2.8,No,Next Day Air,No,No,24,Credit Card,Fortnightly
106,49,Female,Parka,Outerwear,30,Washington,XL,Black,Fall,4.0,Yes,2-Day Shipping,No,No,6,Venmo,Monthly
107,60,Female,Rain Jacket,Outerwear,97,Colorado,XL,Pink,Fall,3.4,Yes,Store Pickup,No,No,17,Bank Transfer,Weekly
108,22,Female,Coat,Outerwear,23,Oregon,XL,Maroon,Spring,2.7,No,Standard,No,Yes,38,Cash,Bi-Weekly
109,46,Female,Rain Jacket,Outerwear,29,Texas,M,Red,Summer,3.5,No,Free Shipping,Yes,Yes,1,Bank Transfer,Fortnightly
110,49,Female,Dress,Clothing,53,Colorado,XL,Purple,Summer,4.2,No,Free Shipping,Yes,Yes,8,Venmo,Quarterly
111,29,Female,Coat,Clothing,64,Colorado,S,Violet,Summer,4.6,Yes,Standard,Yes,Yes,7,Cash,Fortnightly
112,33,Female,Coat,Clothing,90,Texas,L,Lavender,Spring,4.0,Yes,Express,No,No,45,Bank Transfer,Quarterly
113,51,Female,Hat,Accessories,29,Oregon,L,Black,Fall,3.7,No,Free Shipping,Yes,Yes,49,Cash,Quarterly
114,50,Male,Pants,Clothing,39,Missouri,M,Pink,Summer,4.8,Yes,Standard,No,Yes,16,Cash,Bi-Weekly
115,53,Female,Boots,Footwear,98,California,S,Red,Spring,4.0,Yes,Free Shipping,No,Yes,1,Venmo,Weekly
116,59,Female,Heels,Footwear,73,Florida,S,Blue,Summer,4.1,No,Next Day Air,Yes,Yes,43,PayPal,Monthly
117,47,Male,Jeans,Clothing,76,New Hampshire,XL,Lavender,Spring,3.4,Yes,Standard,No,No,25,Cash,Monthly
118,50,Male,Coat,Outerwear,79,Rhode Island,L,Lavender,Spring,2.9,Yes,Standard,No,No,15,Cash,Monthly
119,54,Female,Sneakers,Footwear,83,Mississippi,XL,Blue,Summer,3.7,Yes,Next Day Air,No,Yes,13,Debit Card,Monthly
120,21,Male,Rain Jacket,Outerwear,96,Ohio,XL,Violet,Winter,4.6,No,Free Shipping,No,No,48,PayPal,Monthly
121,20,Female,Pants,Clothing,44,Hawaii,L,Black,Fall,3.8,No,2-Day Shipping,Yes,Yes,8,Venmo,Quarterly
122,41,Female,Coat,Outerwear,45,Florida,XL,Red,Winter,2.6,Yes,Store Pickup,No,No,33,PayPal,Fortnightly
123,56,Male,Parka,Outerwear,40,Delaware,L,Teal,Fall,4.3,No,Next Day Air,Yes,Yes,23,Credit Card,Bi-Weekly
124,25,Female,Jacket,Outerwear,96,Alabama,L,Olive,Winter,4.0,Yes,2-Day Shipping,No,Yes,43,Cash,Weekly
125,54,Male,Sandals,Footwear,76,Arkansas,XL,Turquoise,Fall,4.2,No,2-Day Shipping,No,Yes,45,Cash,Annually
126,31,Female,Hat,Accessories,68,Arkansas,M,Lavender,Summer,3.9,No,2-Day Shipping,No,Yes,15,Credit Card,Annually
127,37,Male,Parka,Outerwear,46,Colorado,XL,Teal,Fall,3.4,No,Standard,Yes,Yes,36,Bank Transfer,Annually
128,42,Female,Coat,Outerwear,57,Maine,L,Black,Summer,4.8,No,Store Pickup,No,Yes,12,Debit Card,Monthly
129,53,Female,Sandals,Footwear,98,Washington,M,Olive,Winter,4.2,Yes,Store Pickup,Yes,Yes,3,Venmo,Quarterly
130,39,Female,Jeans,Clothing,20,California,M,Charcoal,Fall,3.7,Yes,Standard,No,No,41,Venmo,Weekly
131,59,Male,Jeans,Clothing,73,Wyoming,S,Silver,Fall,3.0,No,Express,Yes,Yes,19,Debit Card,Annually
132,24,Female,Rain Jacket,Outerwear,89,Mississippi,XL,Turquoise,Fall,3.2,Yes,Standard,Yes,Yes,46,PayPal,Bi-Weekly
133,34,Male,Coat,Clothing,57,Texas,M,Pink,Fall,4.6,No,Express,No,Yes,11,Cash,Quarterly
134,38,Male,Dress,Clothing,69,Louisiana,XL,Gold,Summer,3.3,Yes,Standard,No,Yes,3,Bank Transfer,Weekly
135,47,Female,Flats,Footwear,84,Colorado,L,White,Summer,3.4,Yes,Free Shipping,Yes,Yes,30,Cash,Quarterly
136,65,Female,Jewelry,Accessories,90,Alabama,M,Olive,Winter,3.8,No,Express,Yes,Yes,3,Debit Card,Annually
137,30,Male,Boots,Footwear,86,New York,S,Purple,Fall,2.7,No,Express,No,Yes,32,PayPal,Quarterly
138,54,Male,Jewelry,Accessories,59,Washington,S,Silver,Summer,4.5,Yes,2-Day Shipping,Yes,Yes,2,PayPal,Monthly
139,62,Male,Sweater,Clothing,80,Maine,L,Charcoal,Spring,4.4,No,Standard,No,No,24,PayPal,Weekly
140,61,Male,Jacket,Outerwear,42,California,XL,Red,Spring,4.3,Yes,Express,Yes,Yes,19,PayPal,Bi-Weekly
141,64,Female,Sunglasses,Accessories,51,New York,L,Turquoise,Summer,3.0,Yes,Express,No,Yes,15,Cash,Weekly
142,24,Male,Hat,Accessories,26,Louisiana,S,Silver,Fall,3.1,Yes,Express,Yes,Yes,32,Credit Card,Fortnightly
143,70,Female,Coat,Outerwear,58,Oregon,M,Charcoal,Summer,3.2,Yes,Store Pickup,No,No,3,Credit Card,Bi-Weekly
144,60,Female,Rain Jacket,Outerwear,72,Oregon,L,Silver,Spring,4.4,No,Free Shipping,Yes,Yes,19,Bank Transfer,Fortnightly
145,69,Female,Pants,Clothing,72,New Hampshire,M,Silver,Spring,3.1,No,Store Pickup,Yes,Yes,28,Credit Card,Weekly
146,52,Male,Dress,Clothing,68,Georgia,S,Black,Spring,4.5,Yes,Next Day Air,Yes,Yes,21,Credit Card,Weekly
147,31,Male,Shorts,Clothing,51,Colorado,M,Silver,Spring,3.9,No,Next Day Air,No,No,19,Credit Card,Monthly
148,50,Female,Handbag,Accessories,80,Arizona,L,Purple,Summer,3.3,Yes,2-Day Shipping,Yes,Yes,47,Cash,Weekly
149,34,Female,Coat,Outerwear,45,Arkansas,M,Silver,Spring,3.7,No,Standard,No,No,29,Cash,Bi-Weekly
150,68,Female,Sneakers,Footwear,89,Alabama,M,Maroon,Winter,4.6,Yes,Store Pickup,Yes,Yes,48,Venmo,Quarterly
151,26,Male,Jeans,Clothing,21,Montana,XL,Green,Winter,4.0,No,Store Pickup,No,Yes,0,Debit Card,Annually
152,44,Male,Pants,Clothing,55,California,L,Gray,Fall,4.5,Yes,Express,Yes,Yes,33,Cash,Fortnightly
153,30,Female,Parka,Outerwear,70,Massachusetts,L,Silver,Fall,3.9,Yes,Standard,Yes,Yes,41,Bank Transfer,Weekly
154,23,Female,Scarf,Accessories,90,Alabama,S,Gray,Spring,2.7,No,Store Pickup,No,Yes,33,Venmo,Fortnightly
155,31,Female,Jacket,Outerwear,29,Georgia,L,Maroon,Spring,4.8,No,Express,Yes,Yes,37,Cash,Bi-Weekly
156,70,Female,Dress,Clothing,40,Texas,M,Silver,Summer,3.5,Yes,Store Pickup,Yes,Yes,32,Bank Transfer,Monthly
157,21,Male,Sunglasses,Accessories,29,Arkansas,XL,Teal,Winter,4.1,No,Next Day Air,Yes,Yes,22,Debit Card,Quarterly
158,45,Male,Handbag,Accessories,99,Missouri,M,Black,Winter,3.2,No,Store Pickup,Yes,Yes,47,PayPal,Monthly
159,41,Male,Blouse,Clothing,59,New York,L,Gold,Winter,2.8,Yes,Next Day Air,No,No,6,Venmo,Weekly
160,40,Male,Rain Jacket,Outerwear,21,Missouri,XL,Silver,Winter,4.3,Yes,2-Day Shipping,Yes,Yes,43,PayPal,Fortnightly
161,26,Female,Parka,Outerwear,83,Oregon,S,Pink,Fall,3.2,No,Next Day Air,Yes,Yes,23,Credit Card,Fortnightly
162,64,Female,Flats,Footwear,33,Oregon,L,Gray,Fall,3.3,No,Standard,No,No,27,Bank Transfer,Annually
163,26,Female,Coat,Outerwear,81,Arkansas,M,Silver,Summer,3.2,No,2-Day Shipping,Yes,Yes,20,PayPal,Monthly
164,70,Female,Jacket,Outerwear,92,Montana,M,Gray,Fall,4.9,Yes,Next Day Air,No,Yes,50,PayPal,Bi-Weekly
165,49,Male,Coat,Outerwear,52,Georgia,M,Charcoal,Fall,2.7,No,2-Day Shipping,No,No,34,Venmo,Monthly
166,62,Male,Shirt,Clothing,65,Wyoming,S,Silver,Summer,4.9,No,Express,Yes,Yes,6,Credit Card,Fortnightly
167,50,Male,Belt,Accessories,70,New York,M,Green,Winter,3.7,No,Next Day Air,Yes,Yes,7,Bank Transfer,Fortnightly
168,40,Female,Rain Jacket,Outerwear,46,Mississippi,XL,Green,Fall,2.7,No,Standard,Yes,Yes,19,Venmo,Bi-Weekly
169,25,Male,Jacket,Outerwear,41,Washington,M,Red,Spring,3.9,No,2-Day Shipping,No,No,14,PayPal,Bi-Weekly
170,29,Male,Scarf,Accessories,23,Washington,M,Lavender,Fall,3.5,Yes,Free Shipping,No,Yes,36,Venmo,Annually
171,29,Female,Coat,Outerwear,78,Rhode Island,L,Blue,Summer,4.0,No,2-Day Shipping,Yes,Yes,22,Credit Card,Quarterly
172,57,Male,Jacket,Outerwear,37,Arkansas,S,Olive,Summer,2.8,No,Store Pickup,Yes,Yes,32,PayPal,Quarterly
173,56,Male,Scarf,Accessories,43,Alabama,M,Pink,Fall,3.2,Yes,Standard,No,Yes,22,Venmo,Quarterly
174,26,Male,Hat,Accessories,84,Ohio,XL,Charcoal,Fall,3.5,No,Next Day Air,Yes,Yes,5,Debit Card,Weekly
175,68,Male,Jacket,Outerwear,55,Louisiana,L,Pink,Fall,3.9,No,2-Day Shipping,Yes,Yes,36,Venmo,Monthly
176,67,Female,Shorts,Clothing,89,Montana,XL,White,Spring,3.2,Yes,Next Day Air,No,No,5,PayPal,Weekly
177,67,Male,Heels,Footwear,64,Colorado,XL,Pink,Spring,4.5,Yes,Express,No,No,38,Debit Card,Fortnightly
178,38,Female,Parka,Outerwear,85,Georgia,S,Turquoise,Fall,4.8,No,Store Pickup,Yes,Yes,44,Cash,Fortnightly
179,27,Female,Flats,Footwear,82,Oregon,L,Charcoal,Fall,3.6,Yes,Next Day Air,No,No,29,PayPal,Monthly
180,55,Male,Shorts,Clothing,65,Massachusetts,XL,Purple,Fall,4.6,No,Standard,No,No,21,Debit Card,Annually
181,26,Female,Jacket,Outerwear,25,Rhode Island,XL,Gray,Winter,4.8,Yes,Next Day Air,No,Yes,27,Cash,Bi-Weekly
182,26,Female,Boots,Footwear,31,Ohio,L,Gold,Winter,3.4,Yes,Express,No,No,46,Bank Transfer,Fortnightly
183,45,Male,Blouse,Clothing,47,Alabama,S,Turquoise,Spring,3.8,No,Express,Yes,Yes,44,Credit Card,Weekly
184,45,Male,Handbag,Accessories,49,Delaware,S,White,Winter,3.3,No,Free Shipping,No,Yes,41,Bank Transfer,Fortnightly
185,22,Male,Flats,Footwear,64,Washington,M,Turquoise,Fall,4.0,No,Free Shipping,Yes,Yes,6,Cash,Weekly
186,55,Female,Rain Jacket,Outerwear,60,Oregon,M,Gold,Winter,3.1,No,Store Pickup,Yes,Yes,42,Credit Card,Fortnightly
187,51,Male,Belt,Accessories,26,Louisiana,XL,Silver,Winter,3.1,Yes,2-Day Shipping,Yes,Yes,23,Credit Card,Fortnightly
188,42,Female,Coat,Outerwear,80,Arizona,S,Gray,Winter,2.5,Yes,Express,Yes,Yes,50,PayPal,Annually
189,36,Female,Jewelry,Accessories,71,Massachusetts,M,Gold,Winter,3.3,Yes,Free Shipping,No,No,37,Bank Transfer,Bi-Weekly
190,61,Male,Rain Jacket,Outerwear,50,Maine,M,Black,Fall,2.8,Yes,Standard,Yes,Yes,7,Venmo,Bi-Weekly
191,26,Male,Flats,Footwear,64,Mississippi,L,Pink,Summer,2.8,No,Store Pickup,Yes,Yes,49,Venmo,Monthly
192,69,Female,Jacket,Outerwear,53,Colorado,S,Blue,Fall,3.8,Yes,Next Day Air,Yes,Yes,23,Cash,Monthly
193,67,Male,Shirt,Clothing,85,Kentucky,S,Gray,Spring,2.6,No,Next Day Air,Yes,Yes,11,Venmo,Annually
194,69,Female,Boots,Footwear,51,New Hampshire,L,Gold,Winter,3.9,Yes,2-Day Shipping,Yes,Yes,11,Cash,Annually
195,20,Female,Shorts,Clothing,56,Arizona,L,Teal,Winter,3.9,Yes,Standard,Yes,Yes,18,Debit Card,Monthly
196,65,Male,Belt,Accessories,95,Alabama,M,Olive,Spring,2.5,No,Express,Yes,Yes,34,Credit Card,Bi-Weekly
197,62,Male,Jacket,Outerwear,68,Washington,L,White,Spring,3.8,Yes,Next Day Air,No,Yes,9,Bank Transfer,Monthly
198,23,Male,Heels,Footwear,72,Colorado,L,Lavender,Winter,4.0,Yes,Store Pickup,No,Yes,37,Debit Card,Weekly
199,45,Male,Boots,Footwear,53,Arkansas,XL,Teal,Summer,3.6,Yes,Express,Yes,Yes,8,Debit Card,Weekly
200,27,Male,Flats,Footwear,79,Arkansas,XL,White,Summer,4.9,Yes,Next Day Air,No,No,16,Venmo,Weekly
201,28,Female,Shirt,Clothing,61,Oregon,S,Olive,Summer,3.5,Yes,Store Pickup,No,No,11,Venmo,Quarterly
202,46,Male,Shorts,Clothing,33,Oregon,S,Gray,Winter,4.6,Yes,Free Shipping,Yes,Yes,25,Credit Card,Bi-Weekly
203,58,Male,Jacket,Outerwear,22,Massachusetts,M,Lavender,Spring,2.7,No,Express,Yes,Yes,29,Venmo,Fortnightly
